date,code,volume,pctChg,close,high,amount,turn
2017-06-01,sz.002600,0,0.000000,11.4600,11.4600,0.0000,
2017-06-02,sz.002600,0,0.000000,11.4600,11.4600,0.0000,
2017-06-05,sz.002600,0,0.000000,11.4600,11.4600,0.0000,
2017-06-06,sz.002600,0,0.000000,11.4600,11.4600,0.0000,
2017-06-07,sz.002600,0,0.000000,11.4600,11.4600,0.0000,
2017-06-08,sz.002600,0,0.000000,11.4600,11.4600,0.0000,
2017-06-09,sz.002600,0,0.000000,11.4600,11.4600,0.0000,
2017-06-12,sz.002600,0,0.000000,11.4600,11.4600,0.0000,
2017-06-13,sz.002600,0,0.000000,11.4600,11.4600,0.0000,
2017-06-14,sz.002600,0,0.000000,11.4600,11.4600,0.0000,
2017-06-15,sz.002600,0,0.000000,11.4600,11.4600,0.0000,
2017-06-16,sz.002600,0,0.000000,11.4600,11.4600,0.0000,
2017-06-19,sz.002600,0,0.000000,11.4600,11.4600,0.0000,
2017-06-20,sz.002600,0,0.000000,11.4600,11.4600,0.0000,
2017-06-21,sz.002600,0,0.000000,11.4600,11.4600,0.0000,
2017-06-22,sz.002600,0,0.000000,11.4600,11.4600,0.0000,
2017-06-23,sz.002600,0,0.000000,11.4600,11.4600,0.0000,
2017-06-26,sz.002600,0,0.000000,11.4600,11.4600,0.0000,
2017-06-27,sz.002600,0,0.000000,11.4600,11.4600,0.0000,
2017-06-28,sz.002600,0,0.000000,11.4600,11.4600,0.0000,
2017-06-29,sz.002600,0,0.000000,11.4600,11.4600,0.0000,
2017-06-30,sz.002600,0,0.000000,11.4600,11.4600,0.0000,
2017-07-03,sz.002600,0,0.000000,11.4600,11.4600,0.0000,
2017-07-04,sz.002600,0,0.000000,11.4600,11.4600,0.0000,
2017-07-05,sz.002600,0,0.000000,11.4600,11.4600,0.0000,
2017-07-06,sz.002600,0,0.000000,11.4600,11.4600,0.0000,
2017-07-07,sz.002600,0,0.000000,11.4600,11.4600,0.0000,
2017-07-10,sz.002600,0,0.000000,11.4600,11.4600,0.0000,
2017-07-11,sz.002600,0,0.000000,11.4600,11.4600,0.0000,
2017-07-12,sz.002600,0,0.000000,11.4600,11.4600,0.0000,
2017-07-13,sz.002600,0,0.000000,11.4600,11.4600,0.0000,
2017-07-14,sz.002600,0,0.000000,11.4600,11.4600,0.0000,
2017-07-17,sz.002600,0,0.000000,5.6800,5.6800,0.0000,
2017-07-18,sz.002600,0,0.000000,5.6800,5.6800,0.0000,
